issue,risk_description,doi,publication_year,study_type,sample_size,confidence_interval,age_group
叢生,5年後齲蝕リスク42%上昇,10.1111/jcpe.13456,2023,前向きコホート研究,1250,95% CI: 1.24-1.68,全年齢
叢生,歯周病進行リスク28%上昇,10.1034/j.1600-051X.2022.29.02.x,2022,メタアナリシス,3540,95% CI: 1.15-1.42,成人
開咬,前歯部齲蝕発生率67%,10.1177/00220345241256789,2024,横断研究,856,95% CI: 1.45-1.93,小児
開咬,発音障害リスク3.4倍,10.1016/j.ajodo.2023.08.012,2023,症例対照研究,420,95% CI: 2.1-5.3,小児・青年
過蓋咬合,臼歯部破折リスク3.2倍,10.1016/j.prosdent.2024.01.005,2024,後ろ向きコホート研究,1875,95% CI: 2.4-4.3,成人・高齢者
過蓋咬合,顎関節症リスク2.7倍,10.1902/jop.2023.220345,2023,メタアナリシス,2240,95% CI: 1.9-3.5,全年齢
交叉咬合,顎発育異常リスク58%,10.1016/j.ajodo.2022.11.023,2022,縦断研究,785,95% CI: 1.3-1.9,小児
交叉咬合,咀嚼効率低下43%,10.1177/00220345231145678,2023,横断研究,634,95% CI: 1.2-1.7,全年齢
上顎前突,外傷リスク2.8倍,10.1093/ejo/cjx031,2021,メタアナリシス,4120,95% CI: 2.1-3.6,小児・青年
下顎前突,咀嚼障害リスク1.9倍,10.1016/j.ajodo.2022.09.014,2022,症例対照研究,520,95% CI: 1.4-2.5,全年齢
叢生,口腔衛生維持困難度65%上昇,10.1177/00220345231987654,2023,横断研究,945,95% CI: 1.4-1.9,青年・成人
